date,symbol,marketcapname,sector
03-01-2025 2:46 pm,BSE,Largecap,Financial Services
03-01-2025 2:46 pm,BHARTIARTL,Largecap,Telecom
03-01-2025 2:46 pm,MGL,Midcap,Industrials
03-01-2025 2:47 pm,ITC,Largecap,FMCG
03-01-2025 2:47 pm,METROPOLIS,Midcap,Pharmaceuticals
03-01-2025 2:48 pm,KPITTECH,Largecap,I.T
03-01-2025 2:51 pm,PVRINOX,Midcap,Media
03-01-2025 2:52 pm,MGL,Midcap,Industrials
03-01-2025 2:53 pm,NHPC,Largecap,Miscellaneous
03-01-2025 2:57 pm,EICHERMOT,Largecap,Auto
03-01-2025 2:57 pm,WIPRO,Largecap,I.T
03-01-2025 2:57 pm,OFSS,Largecap,I.T
03-01-2025 2:58 pm,OIL,Largecap,Oils
03-01-2025 2:59 pm,DELHIVERY,Largecap,Services
03-01-2025 2:59 pm,OIL,Largecap,Oils
03-01-2025 3:00 pm,TATACOMM,Largecap,Telecom
03-01-2025 3:00 pm,BANKNIFTY,Smallcap,Indices
03-01-2025 3:00 pm,HCLTECH,Largecap,I.T
03-01-2025 3:00 pm,COALINDIA,Largecap,Industrials
03-01-2025 3:00 pm,DALBHARAT,Largecap,Industrials
03-01-2025 3:00 pm,ADANIENSOL,Largecap,Miscellaneous
03-01-2025 3:01 pm,RELIANCE,Largecap,Industrials
03-01-2025 3:01 pm,TORNTPHARM,Largecap,Pharmaceuticals
03-01-2025 3:01 pm,CANFINHOME,Midcap,Finance
03-01-2025 3:01 pm,UPL,Largecap,Industrials
03-01-2025 3:01 pm,CDSL,Largecap,Financial Services
03-01-2025 3:01 pm,SUNPHARMA,Largecap,Pharmaceuticals
03-01-2025 3:01 pm,METROPOLIS,Midcap,Pharmaceuticals
03-01-2025 3:01 pm,CAMS,Largecap,Financial Services
03-01-2025 3:01 pm,ZYDUSLIFE,Largecap,Pharmaceuticals
03-01-2025 3:01 pm,GODREJPROP,Largecap,Realty
03-01-2025 3:01 pm,COALINDIA,Largecap,Industrials
03-01-2025 3:02 pm,TCS,Largecap,I.T
03-01-2025 3:03 pm,CESC,Largecap,Miscellaneous
03-01-2025 3:03 pm,CGPOWER,Largecap,FMCG
03-01-2025 3:03 pm,ASIANPAINT,Largecap,Industrials
03-01-2025 3:03 pm,POLYCAB,Largecap,Industrials
03-01-2025 3:03 pm,BIOCON,Largecap,Pharmaceuticals
03-01-2025 3:03 pm,BAJAJ-AUTO,Largecap,Auto
03-01-2025 3:03 pm,DALBHARAT,Largecap,Industrials
03-01-2025 3:03 pm,MCX,Largecap,Financial Services
03-01-2025 3:04 pm,APOLLOHOSP,Largecap,Pharmaceuticals
03-01-2025 3:04 pm,KPITTECH,Largecap,I.T
03-01-2025 3:04 pm,JSWENERGY,Largecap,Miscellaneous
03-01-2025 3:05 pm,HEROMOTOCO,Largecap,Auto
03-01-2025 3:05 pm,M&M,Largecap,Auto
03-01-2025 3:05 pm,APOLLOHOSP,Largecap,Pharmaceuticals
03-01-2025 3:05 pm,CANFINHOME,Midcap,Finance
03-01-2025 3:05 pm,CHOLAFIN,Largecap,Finance
03-01-2025 3:05 pm,LICI,Largecap,Services
03-01-2025 3:05 pm,CDSL,Largecap,Financial Services
03-01-2025 3:05 pm,TIINDIA,Largecap,Metals
03-01-2025 3:05 pm,POLYCAB,Largecap,Industrials
03-01-2025 3:05 pm,NATIONALUM,Largecap,Metals
03-01-2025 3:05 pm,ULTRACEMCO,Largecap,Industrials
03-01-2025 3:05 pm,LODHA,Largecap,Realty
03-01-2025 3:06 pm,CESC,Largecap,Miscellaneous
03-01-2025 3:06 pm,DRREDDY,Largecap,Pharmaceuticals
03-01-2025 3:06 pm,RELIANCE,Largecap,Industrials
03-01-2025 3:06 pm,NIFTY,Smallcap,Indices
03-01-2025 3:06 pm,BANKNIFTY,Smallcap,Indices
03-01-2025 3:06 pm,SUNPHARMA,Largecap,Pharmaceuticals
03-01-2025 3:06 pm,SBICARD,Largecap,Finance
03-01-2025 3:06 pm,NATIONALUM,Largecap,Metals
03-01-2025 3:06 pm,TVSMOTOR,Largecap,Auto
03-01-2025 3:06 pm,TCS,Largecap,I.T
03-01-2025 3:06 pm,NTPC,Largecap,Miscellaneous
03-01-2025 3:06 pm,ASTRAL,Largecap,FMCG
03-01-2025 3:06 pm,ADANIPORTS,Largecap,Industrials
03-01-2025 3:06 pm,GODREJPROP,Largecap,Realty
03-01-2025 3:06 pm,COALINDIA,Largecap,Industrials
03-01-2025 3:06 pm,LTIM,Largecap,I.T
03-01-2025 3:06 pm,ICICIPRULI,Largecap,Services
03-01-2025 3:07 pm,ABB,Largecap,FMCG
03-01-2025 3:07 pm,CESC,Largecap,Miscellaneous
03-01-2025 3:07 pm,TATACOMM,Largecap,Telecom
03-01-2025 3:07 pm,CDSL,Largecap,Financial Services
03-01-2025 3:07 pm,INDUSINDBK,Largecap,Bank
03-01-2025 3:07 pm,TCS,Largecap,I.T
03-01-2025 3:07 pm,PVRINOX,Midcap,Media
03-01-2025 3:08 pm,CHAMBLFERT,Midcap,Industrials
03-01-2025 3:08 pm,SHREECEM,Largecap,Industrials
03-01-2025 3:08 pm,BHARATFORG,Largecap,Industrials
03-01-2025 3:08 pm,CHOLAFIN,Largecap,Finance
03-01-2025 3:08 pm,MOTHERSON,Largecap,Auto
03-01-2025 3:08 pm,IRCTC,Largecap,Miscellaneous
03-01-2025 3:08 pm,GAIL,Largecap,Industrials
03-01-2025 3:08 pm,PVRINOX,Midcap,Media
03-01-2025 3:08 pm,GODREJPROP,Largecap,Realty
03-01-2025 3:08 pm,PRESTIGE,Largecap,Realty
03-01-2025 3:08 pm,PAYTM,Largecap,I.T
03-01-2025 3:09 pm,PAYTM,Largecap,I.T
03-01-2025 3:12 pm,CROMPTON,Largecap,FMCG
03-01-2025 3:13 pm,PRESTIGE,Largecap,Realty
03-01-2025 3:14 pm,DRREDDY,Largecap,Pharmaceuticals
03-01-2025 3:15 pm,ABB,Largecap,FMCG
03-01-2025 3:15 pm,POLICYBZR,Largecap,I.T
03-01-2025 3:16 pm,LAURUSLABS,Largecap,Pharmaceuticals
03-01-2025 3:16 pm,ASIANPAINT,Largecap,Industrials
03-01-2025 3:16 pm,COLPAL,Largecap,FMCG
03-01-2025 3:16 pm,MANAPPURAM,Midcap,Finance
03-01-2025 3:16 pm,POLYCAB,Largecap,Industrials
03-01-2025 3:16 pm,CUB,Midcap,Bank
03-01-2025 3:16 pm,PAGEIND,Largecap,FMCG
03-01-2025 3:16 pm,NYKAA,Largecap,I.T
03-01-2025 3:17 pm,AUBANK,Largecap,Bank
03-01-2025 3:17 pm,NATIONALUM,Largecap,Metals
03-01-2025 3:17 pm,GODREJPROP,Largecap,Realty
03-01-2025 3:17 pm,JUBLFOOD,Largecap,Quick Service Restaurant
03-01-2025 3:17 pm,PRESTIGE,Largecap,Realty
03-01-2025 3:18 pm,TITAN,Largecap,Miscellaneous
03-01-2025 3:18 pm,LICHSGFIN,Largecap,Finance
03-01-2025 3:18 pm,TATACONSUM,Largecap,FMCG
03-01-2025 3:18 pm,KEI,Largecap,Industrials
03-01-2025 3:18 pm,RECLTD,Largecap,Finance
03-01-2025 3:18 pm,KALYANKJIL,Largecap,Miscellaneous
03-01-2025 3:18 pm,LODHA,Largecap,Realty
03-01-2025 3:19 pm,HINDPETRO,Largecap,Industrials
03-01-2025 3:19 pm,ABBOTINDIA,Largecap,Pharmaceuticals
03-01-2025 3:19 pm,ICICIGI,Largecap,Services
03-01-2025 3:21 pm,M&M,Largecap,Auto
03-01-2025 3:22 pm,INFY,Largecap,I.T
03-01-2025 3:22 pm,MARUTI,Largecap,Auto
03-01-2025 3:22 pm,TCS,Largecap,I.T
03-01-2025 3:23 pm,SIEMENS,Largecap,FMCG
03-01-2025 3:23 pm,HAL,Largecap,Aerospace & Defence
03-01-2025 3:23 pm,POLYCAB,Largecap,Industrials
03-01-2025 3:23 pm,OBEROIRLTY,Largecap,Realty
03-01-2025 3:24 pm,LAURUSLABS,Largecap,Pharmaceuticals
03-01-2025 3:25 pm,KOTAKBANK,Largecap,Bank
03-01-2025 3:25 pm,PIDILITIND,Largecap,Industrials
03-01-2025 3:25 pm,BHARATFORG,Largecap,Industrials
