date,symbol,marketcapname,sector
03-01-2025 2:45 pm,DMART,Largecap,FMCG
03-01-2025 2:45 pm,ICICIGI,Largecap,Services
03-01-2025 2:45 pm,KALYANKJIL,Largecap,Miscellaneous
03-01-2025 2:46 pm,ANGELONE,Largecap,Services
03-01-2025 2:47 pm,TITAN,Largecap,Miscellaneous
03-01-2025 2:47 pm,INFY,Largecap,I.T
03-01-2025 2:47 pm,BANKINDIA,Largecap,Bank
03-01-2025 2:47 pm,ASTRAL,Largecap,FMCG
03-01-2025 2:47 pm,GODREJPROP,Largecap,Realty
03-01-2025 2:49 pm,TITAN,Largecap,Miscellaneous
03-01-2025 2:49 pm,HINDUNILVR,Largecap,FMCG
03-01-2025 2:49 pm,KALYANKJIL,Largecap,Miscellaneous
03-01-2025 2:50 pm,KEI,Largecap,Industrials
03-01-2025 2:50 pm,BANKBARODA,Largecap,Bank
03-01-2025 2:51 pm,MFSL,Largecap,Finance
03-01-2025 2:51 pm,DIXON,Largecap,FMCG
03-01-2025 2:52 pm,SBILIFE,Largecap,Services
03-01-2025 2:52 pm,NHPC,Largecap,Miscellaneous
03-01-2025 2:52 pm,KALYANKJIL,Largecap,Miscellaneous
03-01-2025 2:53 pm,RBLBANK,Midcap,Bank
03-01-2025 2:54 pm,ABB,Largecap,FMCG
03-01-2025 2:54 pm,VEDL,Largecap,Industrials
03-01-2025 2:54 pm,SBILIFE,Largecap,Services
03-01-2025 2:55 pm,ATUL,Largecap,Industrials
03-01-2025 2:55 pm,BATAINDIA,Midcap,FMCG
03-01-2025 2:55 pm,INDHOTEL,Largecap,Services
03-01-2025 2:55 pm,SBILIFE,Largecap,Services
03-01-2025 2:55 pm,BANKBARODA,Largecap,Bank
03-01-2025 2:55 pm,M&MFIN,Largecap,Finance
03-01-2025 2:55 pm,PAYTM,Largecap,I.T
03-01-2025 2:55 pm,IDFCFIRSTB,Largecap,Bank
03-01-2025 2:55 pm,ICICIPRULI,Largecap,Services
03-01-2025 2:56 pm,CIPLA,Largecap,Pharmaceuticals
03-01-2025 2:56 pm,PIIND,Largecap,Industrials
03-01-2025 2:56 pm,JINDALSTEL,Largecap,Metals
03-01-2025 2:56 pm,KALYANKJIL,Largecap,Miscellaneous
03-01-2025 2:56 pm,RBLBANK,Midcap,Bank
03-01-2025 2:58 pm,HEROMOTOCO,Largecap,Auto
03-01-2025 2:58 pm,IPCALAB,Largecap,Pharmaceuticals
03-01-2025 2:59 pm,TORNTPHARM,Largecap,Pharmaceuticals
03-01-2025 3:00 pm,TITAN,Largecap,Miscellaneous
03-01-2025 3:00 pm,VBL,Largecap,FMCG
03-01-2025 3:02 pm,ITC,Largecap,FMCG
03-01-2025 3:02 pm,SRF,Largecap,Industrials
03-01-2025 3:02 pm,RBLBANK,Midcap,Bank
03-01-2025 3:03 pm,VBL,Largecap,FMCG
03-01-2025 3:05 pm,PIDILITIND,Largecap,Industrials
03-01-2025 3:05 pm,CUB,Midcap,Bank
03-01-2025 3:09 pm,TATAELXSI,Largecap,I.T
03-01-2025 3:09 pm,HAVELLS,Largecap,FMCG
03-01-2025 3:09 pm,COFORGE,Largecap,I.T
03-01-2025 3:10 pm,TECHM,Largecap,I.T
03-01-2025 3:11 pm,NESTLEIND,Largecap,FMCG
03-01-2025 3:11 pm,AARTIIND,Midcap,Industrials
03-01-2025 3:12 pm,NESTLEIND,Largecap,FMCG
03-01-2025 3:12 pm,HDFCLIFE,Largecap,Services
03-01-2025 3:13 pm,ULTRACEMCO,Largecap,Industrials
03-01-2025 3:17 pm,SBILIFE,Largecap,Services
03-01-2025 3:17 pm,HCLTECH,Largecap,I.T
03-01-2025 3:17 pm,PNB,Largecap,Bank
03-01-2025 3:19 pm,SONACOMS,Largecap,Auto
03-01-2025 3:20 pm,POONAWALLA,Largecap,Finance
03-01-2025 3:21 pm,NCC,Midcap,Realty
03-01-2025 3:22 pm,NAUKRI,Largecap,I.T
03-01-2025 3:24 pm,HUDCO,Largecap,Finance
03-01-2025 3:25 pm,APLAPOLLO,Largecap,Metals
03-01-2025 3:26 pm,IDFCFIRSTB,Largecap,Bank
03-01-2025 3:28 pm,TATAELXSI,Largecap,I.T
03-01-2025 3:28 pm,BPCL,Largecap,Industrials
03-01-2025 3:28 pm,JSL,Largecap,Metals
03-01-2025 3:29 pm,CYIENT,Midcap,I.T
03-01-2025 3:29 pm,SUNTV,Largecap,Media
03-01-2025 3:29 pm,DALBHARAT,Largecap,Industrials
06-01-2025 9:15 am,INFY,Largecap,I.T
06-01-2025 9:15 am,SHREECEM,Largecap,Industrials
06-01-2025 9:15 am,M&M,Largecap,Auto
06-01-2025 9:15 am,BRITANNIA,Largecap,FMCG
06-01-2025 9:15 am,EICHERMOT,Largecap,Auto
06-01-2025 9:15 am,ULTRACEMCO,Largecap,Industrials
06-01-2025 9:15 am,PAGEIND,Largecap,FMCG
06-01-2025 9:15 am,BAJAJ-AUTO,Largecap,Auto
06-01-2025 9:15 am,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 9:15 am,POLICYBZR,Largecap,I.T
06-01-2025 9:16 am,PERSISTENT,Largecap,I.T
06-01-2025 9:16 am,ALKEM,Largecap,Pharmaceuticals
06-01-2025 9:16 am,CROMPTON,Largecap,FMCG
06-01-2025 9:16 am,RBLBANK,Midcap,Bank
06-01-2025 9:17 am,BAJAJ-AUTO,Largecap,Auto
06-01-2025 9:19 am,TORNTPHARM,Largecap,Pharmaceuticals
06-01-2025 9:21 am,HEROMOTOCO,Largecap,Auto
06-01-2025 9:21 am,GRASIM,Largecap,Textiles
06-01-2025 9:21 am,EICHERMOT,Largecap,Auto
06-01-2025 9:21 am,TCS,Largecap,I.T
06-01-2025 9:21 am,SONACOMS,Largecap,Auto
06-01-2025 9:22 am,ADANIPORTS,Largecap,Industrials
06-01-2025 9:22 am,ZOMATO,Largecap,I.T
06-01-2025 9:23 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 9:23 am,KALYANKJIL,Largecap,Miscellaneous
06-01-2025 9:25 am,HEROMOTOCO,Largecap,Auto
06-01-2025 9:25 am,POONAWALLA,Largecap,Finance
06-01-2025 9:25 am,ASTRAL,Largecap,FMCG
06-01-2025 9:26 am,INFY,Largecap,I.T
06-01-2025 9:27 am,TRENT,Largecap,FMCG
06-01-2025 9:27 am,GRASIM,Largecap,Textiles
06-01-2025 9:27 am,BRITANNIA,Largecap,FMCG
06-01-2025 9:27 am,NIFTY,Smallcap,Indices
06-01-2025 9:30 am,ULTRACEMCO,Largecap,Industrials
06-01-2025 9:31 am,BSOFT,Midcap,I.T
06-01-2025 9:31 am,LTTS,Largecap,I.T
06-01-2025 9:32 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 9:32 am,PAYTM,Largecap,I.T
06-01-2025 9:38 am,HUDCO,Largecap,Finance
06-01-2025 9:39 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 9:39 am,PAYTM,Largecap,I.T
06-01-2025 9:40 am,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 9:41 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 9:41 am,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 9:42 am,BAJFINANCE,Largecap,Finance
06-01-2025 9:42 am,TATACOMM,Largecap,Telecom
06-01-2025 9:42 am,GRANULES,Midcap,Pharmaceuticals
06-01-2025 9:42 am,JUBLFOOD,Largecap,Quick Service Restaurant
06-01-2025 9:45 am,GODREJCP,Largecap,FMCG
06-01-2025 9:48 am,HUDCO,Largecap,Finance
06-01-2025 9:48 am,KALYANKJIL,Largecap,Miscellaneous
06-01-2025 9:49 am,NAVINFLUOR,Midcap,Industrials
06-01-2025 9:49 am,KALYANKJIL,Largecap,Miscellaneous
06-01-2025 9:50 am,BIOCON,Largecap,Pharmaceuticals
06-01-2025 9:51 am,NAUKRI,Largecap,I.T
06-01-2025 9:52 am,TITAN,Largecap,Miscellaneous
06-01-2025 9:52 am,INDHOTEL,Largecap,Services
06-01-2025 9:52 am,DALBHARAT,Largecap,Industrials
06-01-2025 9:52 am,ZOMATO,Largecap,I.T
06-01-2025 9:55 am,NYKAA,Largecap,I.T
06-01-2025 9:56 am,SIEMENS,Largecap,FMCG
06-01-2025 9:57 am,LUPIN,Largecap,Pharmaceuticals
06-01-2025 9:58 am,IRCTC,Largecap,Miscellaneous
06-01-2025 9:58 am,ICICIPRULI,Largecap,Services
06-01-2025 10:00 am,SHRIRAMFIN,Largecap,Finance
06-01-2025 10:00 am,ICICIBANK,Largecap,Bank
06-01-2025 10:00 am,GLENMARK,Largecap,Pharmaceuticals
06-01-2025 10:00 am,BAJAJFINSV,Largecap,Finance
06-01-2025 10:01 am,SHRIRAMFIN,Largecap,Finance
06-01-2025 10:01 am,POLYCAB,Largecap,Industrials
06-01-2025 10:02 am,BIOCON,Largecap,Pharmaceuticals
06-01-2025 10:03 am,ESCORTS,Largecap,Auto
06-01-2025 10:03 am,COROMANDEL,Largecap,Industrials
06-01-2025 10:03 am,BAJAJFINSV,Largecap,Finance
06-01-2025 10:04 am,WIPRO,Largecap,I.T
06-01-2025 10:04 am,MPHASIS,Largecap,I.T
06-01-2025 10:05 am,ICICIGI,Largecap,Services
06-01-2025 10:05 am,METROPOLIS,Midcap,Pharmaceuticals
06-01-2025 10:06 am,HEROMOTOCO,Largecap,Auto
06-01-2025 10:06 am,FEDERALBNK,Largecap,Bank
06-01-2025 10:06 am,TATAMOTORS,Largecap,Auto
06-01-2025 10:06 am,CHOLAFIN,Largecap,Finance
06-01-2025 10:07 am,HUDCO,Largecap,Finance
06-01-2025 10:07 am,PAYTM,Largecap,I.T
06-01-2025 10:08 am,BAJFINANCE,Largecap,Finance
06-01-2025 10:08 am,HINDALCO,Largecap,Metals
06-01-2025 10:08 am,LT,Largecap,Realty
06-01-2025 10:08 am,CHOLAFIN,Largecap,Finance
06-01-2025 10:08 am,AUBANK,Largecap,Bank
06-01-2025 10:08 am,ICICIBANK,Largecap,Bank
06-01-2025 10:08 am,CYIENT,Midcap,I.T
06-01-2025 10:08 am,RECLTD,Largecap,Finance
06-01-2025 10:08 am,GODREJPROP,Largecap,Realty
06-01-2025 10:09 am,DEEPAKNTR,Largecap,Industrials
06-01-2025 10:09 am,PFC,Largecap,Finance
06-01-2025 10:10 am,COROMANDEL,Largecap,Industrials
06-01-2025 10:10 am,LTF,Largecap,Finance
06-01-2025 10:11 am,COFORGE,Largecap,I.T
06-01-2025 10:12 am,BHEL,Largecap,FMCG
06-01-2025 10:12 am,BANKINDIA,Largecap,Bank
06-01-2025 10:12 am,PNB,Largecap,Bank
06-01-2025 10:13 am,HINDUNILVR,Largecap,FMCG
06-01-2025 10:13 am,NESTLEIND,Largecap,FMCG
06-01-2025 10:13 am,MARICO,Largecap,FMCG
06-01-2025 10:13 am,BANKBARODA,Largecap,Bank
06-01-2025 10:14 am,DABUR,Largecap,FMCG
06-01-2025 10:14 am,HINDPETRO,Largecap,Industrials
06-01-2025 10:14 am,SBIN,Largecap,Bank
06-01-2025 10:14 am,VEDL,Largecap,Industrials
06-01-2025 10:14 am,ACC,Largecap,Industrials
06-01-2025 10:14 am,TATAMOTORS,Largecap,Auto
06-01-2025 10:14 am,NESTLEIND,Largecap,FMCG
06-01-2025 10:14 am,METROPOLIS,Midcap,Pharmaceuticals
06-01-2025 10:14 am,MARICO,Largecap,FMCG
06-01-2025 10:14 am,CANBK,Largecap,Bank
06-01-2025 10:15 am,SAIL,Largecap,Metals
06-01-2025 10:15 am,HINDUNILVR,Largecap,FMCG
06-01-2025 10:15 am,CONCOR,Largecap,Services
06-01-2025 10:15 am,PNB,Largecap,Bank
06-01-2025 10:15 am,TECHM,Largecap,I.T
06-01-2025 10:15 am,IDEA,Largecap,Telecom
06-01-2025 10:15 am,IDFCFIRSTB,Largecap,Bank
06-01-2025 10:17 am,JSWSTEEL,Largecap,Metals
06-01-2025 10:17 am,MPHASIS,Largecap,I.T
06-01-2025 10:17 am,GODREJCP,Largecap,FMCG
06-01-2025 10:17 am,GUJGASLTD,Largecap,Industrials
06-01-2025 10:18 am,TECHM,Largecap,I.T
06-01-2025 10:19 am,CUMMINSIND,Largecap,FMCG
06-01-2025 10:19 am,NAUKRI,Largecap,I.T
06-01-2025 10:25 am,BRITANNIA,Largecap,FMCG
06-01-2025 10:26 am,BHEL,Largecap,FMCG
06-01-2025 10:26 am,MFSL,Largecap,Finance
06-01-2025 10:27 am,MFSL,Largecap,Finance
06-01-2025 10:27 am,GODREJCP,Largecap,FMCG
06-01-2025 10:36 am,AUBANK,Largecap,Bank
06-01-2025 10:38 am,GODREJCP,Largecap,FMCG
06-01-2025 10:39 am,MARICO,Largecap,FMCG
06-01-2025 10:39 am,GODREJCP,Largecap,FMCG
06-01-2025 10:40 am,CIPLA,Largecap,Pharmaceuticals
06-01-2025 10:40 am,BANKBARODA,Largecap,Bank
06-01-2025 10:47 am,MFSL,Largecap,Finance
06-01-2025 10:53 am,MGL,Midcap,Industrials
06-01-2025 10:55 am,MGL,Midcap,Industrials
06-01-2025 10:58 am,ALKEM,Largecap,Pharmaceuticals
06-01-2025 10:58 am,MGL,Midcap,Industrials
06-01-2025 10:59 am,IGL,Largecap,Industrials
06-01-2025 11:05 am,BAJFINANCE,Largecap,Finance
06-01-2025 11:06 am,KPITTECH,Largecap,I.T
06-01-2025 11:07 am,DMART,Largecap,FMCG
06-01-2025 11:08 am,SRF,Largecap,Industrials
06-01-2025 11:11 am,INDIANB,Largecap,Bank
06-01-2025 11:19 am,ATUL,Largecap,Industrials
06-01-2025 11:19 am,COFORGE,Largecap,I.T
06-01-2025 11:25 am,SIEMENS,Largecap,FMCG
06-01-2025 11:25 am,HAL,Largecap,Aerospace & Defence
06-01-2025 11:25 am,MAXHEALTH,Largecap,Pharmaceuticals
06-01-2025 11:25 am,BSOFT,Midcap,I.T
06-01-2025 11:25 am,NHPC,Largecap,Miscellaneous
06-01-2025 11:27 am,CESC,Largecap,Miscellaneous
06-01-2025 11:28 am,BHEL,Largecap,FMCG
06-01-2025 11:28 am,INFY,Largecap,I.T
06-01-2025 11:28 am,RELIANCE,Largecap,Industrials
06-01-2025 11:28 am,AMBUJACEM,Largecap,Industrials
06-01-2025 11:28 am,KPITTECH,Largecap,I.T
06-01-2025 11:28 am,GAIL,Largecap,Industrials
06-01-2025 11:28 am,NATIONALUM,Largecap,Metals
