date,symbol,marketcapname,sector
16-01-2025 1:00 pm,BSE,Largecap,Financial Services
16-01-2025 1:00 pm,AUBANK,Largecap,Bank
16-01-2025 1:15 pm,CONCOR,Largecap,Services
16-01-2025 1:15 pm,CUB,Midcap,Bank
16-01-2025 1:30 pm,CONCOR,Largecap,Services
16-01-2025 1:45 pm,AUBANK,Largecap,Bank
16-01-2025 1:45 pm,BIOCON,Largecap,Pharmaceuticals
16-01-2025 2:00 pm,CONCOR,Largecap,Services
16-01-2025 2:15 pm,SONACOMS,Largecap,Auto
16-01-2025 3:15 pm,SBICARD,Largecap,Finance
17-01-2025 9:15 am,CHAMBLFERT,Midcap,Industrials
17-01-2025 9:15 am,VEDL,Largecap,Industrials
17-01-2025 9:15 am,RELIANCE,Largecap,Industrials
17-01-2025 9:15 am,HINDALCO,Largecap,Metals
17-01-2025 9:15 am,LT,Largecap,Realty
17-01-2025 9:15 am,BERGEPAINT,Largecap,Industrials
17-01-2025 9:15 am,HINDCOPPER,Largecap,Metals
17-01-2025 9:15 am,ICICIGI,Largecap,Services
17-01-2025 9:15 am,HAL,Largecap,Aerospace & Defence
17-01-2025 9:15 am,MANAPPURAM,Midcap,Finance
17-01-2025 9:15 am,NATIONALUM,Largecap,Metals
17-01-2025 9:15 am,SJVN,Largecap,Miscellaneous
17-01-2025 9:15 am,COALINDIA,Largecap,Industrials
17-01-2025 9:15 am,APLAPOLLO,Largecap,Metals
17-01-2025 9:15 am,GUJGASLTD,Largecap,Industrials
17-01-2025 9:15 am,LTTS,Largecap,I.T
17-01-2025 9:30 am,CHAMBLFERT,Midcap,Industrials
17-01-2025 9:30 am,DABUR,Largecap,FMCG
17-01-2025 9:30 am,BERGEPAINT,Largecap,Industrials
17-01-2025 9:30 am,NMDC,Largecap,Industrials
17-01-2025 9:30 am,ICICIGI,Largecap,Services
17-01-2025 9:30 am,MANAPPURAM,Midcap,Finance
17-01-2025 9:30 am,GUJGASLTD,Largecap,Industrials
17-01-2025 9:45 am,BEL,Largecap,Aerospace & Defence
17-01-2025 9:45 am,CHAMBLFERT,Midcap,Industrials
